"69;""EKYRENAL + -1 LIT AUDEVARD"";"""";1;""547"";"""";"""";""""",
"70;""MAALOX PLUS SOSP 355ML"";"""";1;""550"";"""";"""";""""",
"71;""MAALOX PLUS SOSP 355ML"";"""";1;""550"";"""";"""";""""",
"72;""ZANOBOLIC 1.8 KG"";"""";1;""551"";"""";"""";""""",
"73;""BETACALM PASTE"";"""";1;""552"";"""";"""";""""",
"74;""ZANTAC - 2ML/5 INJ"";"""";1;""554"";"""";"""";""""",
"75;""ASPIRIN POWDER - 453.6g"";"""";1;""557"";"""";"""";""""",
"76;""PMC - 10KG TWYDIL"";"""";1;""558"";"""";"""";""""",
"77;""TOBRADEX EYE OINTMENT-3.5g"";"""";1;""559"";"""";"""";""""",
"78;""AZEECER PLUS - 500mg"";"""";1;""561"";"""";"""";""""",
"79;""VETALOGH PARENTERAL INJ"";"""";1;""562"";"""";"""";""""",
"80;""SNAP FOAL IgG IDEXX"," 5/BOX"";"""";1;""564"";"""";"""";"""""
"81;""EQUIOXX ORAL PASTE"";"""";1;""565"";"""";"""";""""",
"82;""EQUINE PROFILE PLUS - 12/BOX"";"""";1;""566"";"""";"""";""""",
"83;""FRISKA FOAL - 500ML"";"""";1;""570"";"""";"""";""""",
"84;""ITCHGARD - 5L"";"""";1;""571"";"""";"""";""""",
"85;""ANTIPHLOGISTINE - 1.5L"";"""";1;""572"";"""";"""";""""",
"86;""COPPERVIT - 5L"";"""";1;""573"";"""";"""";""""",
"87;""PEPTOSYL 5LIT CEVA NA"";"""";1;""575"";"""";"""";""""",
"88;""TPN - SMOF KABIVEN 2463.MI"";"""";1;""576"";"""";"""";""""",
"89;""AUGMENTIN - 14 Tab/BOX"";"""";1;""579"";"""";"""";""""",
"90;""ANTIHISTAMINICO CHINFIELD INY 20MI"";"""";1;""583"";"""";"""";""""",
"91;""MACROLONE 20 300TAB/PACK"";"""";1;""585"";"""";"""";""""",
"92;""WEST NILE INNOVATOR DOS 1.MI"";"""";1;""672"";"""";"""";""""",
"93;""GENTACIN 5G EYE OINTMENT"";"""";1;""908"";"""";"""";""""",
"94;""COPHOS B PASTE 250G"";"""";1;""929"";"""";"""";""""",
"95;""EQUI-PACK CS 180 CC"";"""";1;""960"";"""";"""";""""",
"96;""LIVER PAK"";"""";1;""968"";"""";"""";""""",
"97;""EXCEED INJECTION 100ML"";"""";1;""969"";"""";"""";""""",
"98;""PRO-BIO EQUINE PASTE 30ML MERVUE"";"""";1;""976"";"""";"""";""""",
"99;""B12-5000-100ml-INJECTION-JP"";"""";1;""983"";"""";"""";""""",
"100;""TOPIGEN 20ml."";"""";1;""986"";"""";"""";""""",
"101;""CORNUCRESINE - HOOF."";"""";1;""987"";"""";"""";""""",
"102;""CILOXAN - EYE OINTMENT"";"""";1;""989"";"""";"""";""""",
"103;""AQUASONIC-ULTRA SOUND GEL-5LIT"";"""";1;""993"";"""";"""";""""",
"104;""CARTROPHEN EQUINE 250MG/M 40ML"";"""";1;""994"";"""";"""";""""",
"105;""E-Z MIXIN SEMEN EXTENDER - 125ML KRUUSE"";"""";1;""1000"";"""";"""";""""",
"106;""SUCROMATE EQUINE 10 ML VAIL."";"""";1;""1001"";"""";"""";""""",
"107;""PNEMABORT K +1B 10DOSES/BOTTLE."";"""";1;""1002"";"""";"""";""""",
